Sr. No.,Academic Year,Month od school onboarding,Region,City,Channel,POC,School Name,School and Program,Program,Grade,Board,Fees Range,Strength Range,Strength,Rev/ student,Sum Product,Total Business,Category,Full year/ mid year
223,25-26,May'25,West,Mumbai,FSM,Kshitija,Nahar,Nahar-Communication,Communication,,IB,ABOVE 120K,Less than 300,24,4000,96000,0.96,Renewal-25-26,Full year
224,25-26,May'25,South 2,Chennai,Direct,Gayathiri,Sri Sai Vidyashram,Sri Sai Vidyashram-Communication,Communication,,CBSE,LESS THAN 30K,301 - 500,327,1186,387966,3.88,Renewal-25-26,Full year
225,25-26,May'25,South 1,Bangalore,Direct,Sudha,St. Theresa,St. Theresa-Communication,Communication,,ICSE,,,200,2217,443390,4.43,Renewal-25-26,Full year
226,25-26,May'25,South 1,Bangalore,FSM,Kshitija,Greenfield,Greenfield-,,,CBSE,,,36,4488,161568,1.62,Renewal-25-26,Full year
227,25-26,May'25,South 1,Bangalore,FSM,Kshitija,Guru Vasishta,Guru Vasishta-,,,CBSE,,,30,2500,75000,0.75,Renewal-25-26,Full year
228,25-26,Jun'25,South 1,Bangalore,Direct,Sudha,New Horizon,New Horizon-Communication,Communication,,CBSE,ABOVE 120K,Less than 300,20,4999,99980,1.00,New-25-26,Full year
229,25-26,Jun'25,South 1,Bangalore,Direct,Sudha,New Horizon,New Horizon-Financial Literacy,Financial Literacy,,CBSE,ABOVE 120K,Less than 300,20,4999,99980,1.00,New 25-26 - Dropped,Full year
230,25-26,Jun'25,West,Mumbai,Management,Kshitija,Friends Academy,Friends Academy-Financial Literacy,Financial Literacy,,ICSE,,,550,1263,694650,6.95,Renewal-25-26,Full year
231,25-26,Jun'25,South 1,Hyderabad,Direct,Thanuja,Wings of Wonder,Wings of Wonder-Communication,Communication,1-6,CBSE,60K-90K,301 - 500,360,1596,574475,5.74,New-25-26,Full year
232,25-26,Jun'25,West,Pune,Digital,Shantanu,Agrasen High School ,Agrasen High School -Communication,Communication,1-5,CBSE,30K-60K,Above 1000,1185,1000,1185000,11.85,New-25-26,Full year
233,25-26,Jun'25,North,Jaipur,Direct,Kshitija,Oxford International Acdemy,Oxford International Acdemy-Communication,Communication,3-8,CBSE,,501-750,530,1200,636000,6.36,Renewal-25-26,Full year
234,25-26,Jun'25,South 1,Bangalore,Direct,Sudha,"Hilton High Innovative Learning School
","Hilton High Innovative Learning School
-Communication",Communication,,State Board,30K-60K,Less than 300,284,1100,312400,3.12,New-25-26,Full year
235,25-26,Jun'25,South 1,Bangalore,Direct,Sudha,"Hilton High Innovative Learning School
","Hilton High Innovative Learning School
-STEM",STEM,,State Board,30K-60K,Less than 300,221,1200,265200,2.65,New-25-26,Full year
236,25-26,Jun'25,South 2,Chennai,Direct,Gayathiri,"International Delhi Public School
","International Delhi Public School
-Communication",Communication,KG-9,CBSE,60K-90K,Less than 300,156,1200,187200,1.87,New-25-26,Full year
237,25-26,Jun'25,North,Delhi,Direct,Poonam,"Suraj Bhan DAV Public School
","Suraj Bhan DAV Public School
-Communication",Communication,10-3,CBSE,30K-60K,,208,1200,250008,2.50,New-25-26,Full year
238,25-26,Jun'25,South 1,Hyderabad,Direct,Thanuja,Hindu Public School-Sanathnagar,Hindu Public School-Sanathnagar-Communication,Communication,4-3,CBSE,30K-60K,Less than 300,,,,,New-25-26,Full year
239,25-26,Jun'25,South 1,Hyderabad,Direct,Thanuja,Hindu Public School-Chintal,Hindu Public School-Chintal-Communication,Communication,4-3,CBSE,30K-60K,Less than 300,,,,,New-25-26,Full year
240,25-26,Jun'25,South 1,Hyderabad,Direct,Thanuja,Hindu Public School-AG Colony,Hindu Public School-AG Colony-Communication,Communication,4-3,CBSE,30K-60K,Less than 300,,,,,New-25-26,Full year
241,25-26,Jun'25,South 1,Hyderabad,Direct,Thanuja,Hindu Public School-Balanagar,Hindu Public School-Balanagar-Communication,Communication,4-3,CBSE,30K-60K,Less than 300,739,1000,739000,7.39,New-25-26,Full year
242,25-26,Jun'25,South 1,Hyderabad,Direct,Thanuja,Dilsukhnagar Public School-Hayathnagar,Dilsukhnagar Public School-Hayathnagar-Communication,Communication,,State Board,30K-60K,,,,415000,4.15,New-25-26,Full year
243,25-26,Jun'25,South 1,Hyderabad,Direct,Thanuja,Dilsukhnagar Public School-Badanagpet,Dilsukhnagar Public School-Badanagpet-Communication,Communication,,State Board,30K-60K,,,,415000,4.15,New-25-26,Full year
244,25-26,Jun'25,South 1,Hyderabad,Direct,Thanuja,Dilsukhnagar Public School-Dilsukhnagar,Dilsukhnagar Public School-Dilsukhnagar-Communication,Communication,,State Board,30K-60K,,,,415000,4.15,New-25-26,Full year
245,25-26,Jun'25,South 1,Hyderabad,Direct,Thanuja,Dilsukhnagar Public School-RK Puram,Dilsukhnagar Public School-RK Puram-Communication,Communication,,State Board,30K-60K,,,,415000,4.15,New-25-26,Full year
246,25-26,Jul'25,South 2,Coimbatore,Direct,Shafique,Smart Modern School,Smart Modern School-Financial Literacy,Financial Literacy,11-12,CBSE,90K-120K,Less than 300,75,2000,150000,1.50,New-25-26,Full year
247,25-26,Jul'25,North,Delhi,Direct,Poonam,St. Teresa School,St. Teresa School-STEM,STEM,7-1,CBSE,60K-90K,Less than 300,111,2000,222000,2.22,New-25-26,Full year
248,25-26,Jul'25,South 1,Bangalore,Direct,FSM,Innovative School of Excellence,Innovative School of Excellence-Communication,Communication,,CBSE,30K-60K,Less than 300,150,1000,150000,1.50,Renewal-25-26,Full year
249,25-26,Jul'25,West,Mumbai,Direct,Naziya Khan,Bunt Sangha's Leealavati High School,Bunt Sangha's Leealavati High School-Communication,Communication,1-5,,,,50,2000,100000,1.00,New-25-26,Full year
250,25-26,Jul'25,South 1,Hyderabad,Direct,Thanuja,Vasishta Educational Society - 2,Vasishta Educational Society - 2-STEM,STEM,1-9,CBSE,60K-90K,Less than 300,156,1500,234000,2.34,New-25-26,Full year
251,25-26,Jul'25,South 1,Hyderabad,Direct,Thanuja,Vasishta Educational Society - 3,Vasishta Educational Society - 3-STEM,STEM,1-9,CBSE,60K-90K,Less than 300,183,1500,274500,2.75,New-25-26,Full year
